whois_id,character_id,character_name,slug,descriptor,status,text_path,html_path,has_raw_text,has_raw_html,has_raw_decho,parse_confidence,notes
whois_grunganator_1780909636,char_grunganator,Grunganator,grunganator,Dwarven Battlemaster,Retired,data/evidence/whois/text/grunganator.txt,data/evidence/whois/html/grunganator.html,yes,no,no,medium,"query_name=Grunganator | display_name=Grunganator Largefeet, Berserker of Durin's House | epithet_or_title=Largefeet, Berserker of Durin's House | Last login 9 years, 2 months, and 8 days ago from *.net."
whois_grunge_1780909642,char_grunge,Grunge,grunge,Maia,,data/evidence/whois/text/grunge.txt,data/evidence/whois/html/grunge.html,yes,no,no,medium,query_name=Grunge | display_name=Grunge created 16 Dec 1995 | epithet_or_title=created 16 Dec 1995
whois_gruumsh_1780909653,char_gruumsh,Gruumsh,gruumsh,Orc,Retired,data/evidence/whois/text/gruumsh.txt,data/evidence/whois/html/gruumsh.html,yes,no,no,medium,query_name=Gruumsh | display_name=Gruumsh the Half-Troll of the North | epithet_or_title=the Half-Troll of the North
whois_grymsh_1780909658,char_grymsh,Grymsh,grymsh,Orc,,data/evidence/whois/text/grymsh.txt,data/evidence/whois/html/grymsh.html,yes,no,no,medium,query_name=Grymsh | display_name=Grymsh the Morbid Flame | epithet_or_title=the Morbid Flame
whois_grytash_1780909664,char_grytash,Grytash,grytash,Orc,Retired,data/evidence/whois/text/grytash.txt,data/evidence/whois/html/grytash.html,yes,no,no,medium,query_name=Grytash | display_name=Grytash inc | epithet_or_title=inc
whois_grythar_1780909670,char_grythar,Grythar,grythar,Tarkhnarb Veteran,Retired,data/evidence/whois/text/grythar.txt,data/evidence/whois/html/grythar.html,yes,no,no,medium,query_name=Grythar | display_name=Grythar Underhill | epithet_or_title=Underhill
whois_guglunk_1780909675,char_guglunk,Guglunk,guglunk,Tarkhnarb Necromancer,Retired,data/evidence/whois/text/guglunk.txt,data/evidence/whois/html/guglunk.html,yes,no,no,medium,query_name=Guglunk | display_name=Guglunk the Master-Shaman of Minas Morgul | epithet_or_title=the Master-Shaman of Minas Morgul
whois_guido_1780909681,char_guido,Guido,guido,Man,Retired,data/evidence/whois/text/guido.txt,data/evidence/whois/html/guido.html,yes,no,no,medium,"query_name=Guido | display_name=Guido | Last login 16 years, 3 months, and 5 days ago."
whois_gulag_1780909686,char_gulag,Gulag,gulag,back where he belongs is a level forty-four Tarkhnarb Soldier,Retired,data/evidence/whois/text/gulag.txt,data/evidence/whois/html/gulag.html,yes,no,no,medium,query_name=Gulag | display_name=Gulag
whois_gundor_1780909692,char_gundor,Gundor,gundor,Dúnadan Battlemaster,Retired,data/evidence/whois/text/gundor.txt,data/evidence/whois/html/gundor.html,yes,no,no,medium,"query_name=Gundor | display_name=Gundor the Son of Hador, brother of Galdor | epithet_or_title=the Son of Hador, brother of Galdor | Last login 12 years and 28 days ago from *.se."
whois_gwira_1780909709,char_gwira,Gwira,gwira,Rohirric Battlemaster,Retired,data/evidence/whois/text/gwira.txt,data/evidence/whois/html/gwira.html,yes,no,no,medium,"query_name=Gwira | display_name=Gwira Blatira | epithet_or_title=Blatira | Last login 24 years, 8 months, and 7 days ago from *.ee."
whois_hairfoot_1780909720,char_hairfoot,Hairfoot,hairfoot,Fallohide Scout,Retired,data/evidence/whois/text/hairfoot.txt,data/evidence/whois/html/hairfoot.html,yes,no,no,medium,"query_name=Hairfoot | display_name=Hairfoot | Last login 23 years, 3 months, and 18 days ago from *.ee."
whois_haity_1780909737,char_haity,Haity,haity,Noldorin Matriarch,Retired,data/evidence/whois/text/haity.txt,data/evidence/whois/html/haity.html,yes,no,no,medium,"query_name=Haity | display_name=Haity the Valkyrie | epithet_or_title=the Valkyrie | Last login 24 years, 11 months, and 11 days ago from *.lv."
whois_haladdin_1780909742,char_haladdin,Haladdin,haladdin,Black Númenórean,Retired,data/evidence/whois/text/haladdin.txt,data/evidence/whois/html/haladdin.html,yes,no,no,medium,query_name=Haladdin | display_name=Haladdin inc | epithet_or_title=inc
whois_hälas_1780909748,,Hälas,halas,Elf,Retired,data/evidence/whois/text/halas.txt,data/evidence/whois/html/halas.html,yes,no,no,medium,"query_name=Halas | display_name=Hälas ....alas !! | epithet_or_title=....alas !! | Last login 14 years, 3 months, and 11 days ago."
whois_haldor_1780909754,char_haldor,Haldor,haldor,Noldorin Warden,Retired,data/evidence/whois/text/haldor.txt,data/evidence/whois/html/haldor.html,yes,no,no,medium,"query_name=Haldor | display_name=Haldor Hélith, Prince of Noldo | epithet_or_title=Hélith, Prince of Noldo | Last login 17 years, 3 months, and 6 days ago from *.se."
whois_hamfist_1780909765,char_hamfist,Hamfist,hamfist,Hobbit,Retired,data/evidence/whois/text/hamfist.txt,data/evidence/whois/html/hamfist.html,yes,no,no,medium,"query_name=Hamfist | display_name=Hamfist Porkpalmed Sausagefingers | epithet_or_title=Porkpalmed Sausagefingers | Last login 9 years, 8 months, and 12 days ago from *.com."
whois_hannibal_1780909776,char_hannibal,Hannibal,hannibal,at the gates is a level forty Tarkhnarb Warg-rider,Retired,data/evidence/whois/text/hannibal.txt,data/evidence/whois/html/hannibal.html,yes,no,no,medium,query_name=Hannibal | display_name=Hannibal
whois_hanr_1780909782,char_hanr,Hanr,hanr,Dwarven Warden,Retired,data/evidence/whois/text/hanr.txt,data/evidence/whois/html/hanr.html,yes,no,no,medium,"query_name=Hanr | display_name=Hanr Whitebeard, Veteran of Durin's House | epithet_or_title=Whitebeard, Veteran of Durin's House | Last login 18 years, 1 month, and 14 days ago from *.ee."
whois_harakiri_1780909787,char_harakiri,Harakiri,harakiri,Elf,Retired,data/evidence/whois/text/harakiri.txt,data/evidence/whois/html/harakiri.html,yes,no,no,medium,"query_name=Harakiri | display_name=Harakiri | Last login 1 year, 8 months, and 7 days ago."
whois_hark_1780909793,char_hark,Hark,hark,Orc,Retired,data/evidence/whois/text/hark.txt,data/evidence/whois/html/hark.html,yes,no,no,medium,query_name=Hark | display_name=Hark
whois_harowen_1780909799,char_harowen,Harowen,harowen,Black Númenórean,Retired,data/evidence/whois/text/harowen.txt,data/evidence/whois/html/harowen.html,yes,no,no,medium,query_name=Harowen | display_name=Harowen
whois_hashtak_1780909804,char_hashtak,Hashtak,hashtak,Orc,,data/evidence/whois/text/hashtak.txt,data/evidence/whois/html/hashtak.html,yes,no,no,medium,query_name=Hashtak | display_name=Hashtak
whois_hatch_1780909815,char_hatch,Hatch,hatch,Hill Troll Warrior,Retired,data/evidence/whois/text/hatch.txt,data/evidence/whois/html/hatch.html,yes,no,no,medium,query_name=Hatch | display_name=Hatch Scratch | epithet_or_title=Scratch
whois_hate_1780909821,char_hate,Hate,hate,Black Númenórean Warlock,Retired,data/evidence/whois/text/hate.txt,data/evidence/whois/html/hate.html,yes,no,no,medium,query_name=Hate | display_name=Hate - Twisted Soul of the Black Shadow Clan | epithet_or_title=- Twisted Soul of the Black Shadow Clan
whois_hated_1780909826,char_hated,Hated,hated,Dúnadan Adventurer,,data/evidence/whois/text/hated.txt,data/evidence/whois/html/hated.html,yes,no,no,medium,query_name=Hated | display_name=Hated and Loved | epithet_or_title=and Loved | Last login 1 month and 16 days ago from *.net.
whois_hatred_1780909832,char_hatred,Hatred,hatred,Orc,Retired,data/evidence/whois/text/hatred.txt,data/evidence/whois/html/hatred.html,yes,no,no,medium,query_name=Hatred | display_name=Hatred the Dark Jewel of Caradhras | epithet_or_title=the Dark Jewel of Caradhras
whois_hazel_1780909837,char_hazel,Hazel,hazel,Half-Elf,Retired,data/evidence/whois/text/hazel.txt,data/evidence/whois/html/hazel.html,yes,no,no,medium,"query_name=Hazel | display_name=Hazel Illusionist, Heart & Flame of Mayavi | epithet_or_title=Illusionist, Heart & Flame of Mayavi"
whois_healer_1780909843,char_healer,Healer,healer,Beorning Rider,Retired,data/evidence/whois/text/healer.txt,data/evidence/whois/html/healer.html,yes,no,no,medium,"query_name=Healer | display_name=Healer the Master-Healer of Fornost | epithet_or_title=the Master-Healer of Fornost | Last login 22 years, 11 months, and 4 days ago from *.ee."
whois_hele_1780909866,char_hele,Hele,hele,Fallohide Footpad,Retired,data/evidence/whois/text/hele.txt,data/evidence/whois/html/hele.html,yes,no,no,medium,"query_name=Hele | display_name=Hele Verminslayer | epithet_or_title=Verminslayer | Last login 13 years, 11 months, and 13 days ago from *.net."
whois_helga_1780909871,char_helga,Helga,helga,Half-Elf,,data/evidence/whois/text/helga.txt,data/evidence/whois/html/helga.html,yes,no,no,medium,"query_name=Helga | display_name=Helga the old, fat and lazy b...ch | epithet_or_title=the old, fat and lazy b...ch | Last login 2 years, 1 month, and 29 days ago."
whois_helios_1780911691,char_helios,Helios,helios,Elf,Retired,data/evidence/whois/text/helios.txt,data/evidence/whois/html/helios.html,yes,no,no,medium,"query_name=Helios | display_name=Helios Narïën, Wizard of Lothlórien | epithet_or_title=Narïën, Wizard of Lothlórien | Last login 17 years, 10 months, and 18 days ago."
