character_id,character_name,derived_gender,derived_gender_confidence,source_descriptor,derived_race,derived_faction,derived_base_class,derived_class_title,classification_status,classification_notes,review_needed
char_juggles,Juggles,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_juss,Juss,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_jätte,Jätte,unknown,,Cave Troll Adventurer,Troll,Minions of Sauron,,Adventurer,generic_title_no_class,race_term=Cave Troll | class_title=Adventurer | base_class_unknown,no
char_kakarot,Kakarot,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_kalevala,Kalevala,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_kamikaze,Kamikaze,unknown,,Noldorin Adventurer,Elf,Free Peoples,,Adventurer,generic_title_no_class,race_term=Noldorin | class_title=Adventurer | base_class_unknown,no
char_kazan,Kazan,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_kazeena,Kazeena,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_kazzey,Kazzey,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_khadum,Khadum,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_khandar,Khandar,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_khim,Khim,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_khird,Khird,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_khodum,Khodum,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_khuka,Khuka,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_kilimanjaro,Kilimanjaro,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_knold,Knold,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_koer,Koer,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_kostej,Kostej,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_kotta,Kotta,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_kreil,Kreil,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_kroom,Kroom,unknown,,Tarkhnarb Adventurer,Orc,Minions of Sauron,,Adventurer,generic_title_no_class,race_term=Tarkhnarb | class_title=Adventurer | base_class_unknown,no
char_kurast,Kurast,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_kviea,Kviea,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_lada,Lada,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_lairathim,Lairathim,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_lakh,Lakh,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_lammas,Lammas,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_lasombra,Lasombra,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_leave,Leave,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_leffe,Leffe,unknown,,Mountain Troll Softskin,Troll,Minions of Sauron,,Softskin,generic_title_no_class,race_term=Mountain Troll | class_title=Softskin | base_class_unknown,no
char_legion,Legion,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_lenwe,Lenwe,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_lepra,Lepra,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_libresse,Libresse,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_lief,Lief,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_linar,Linar,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_ling,Ling,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_lirathe,Lirathe,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_lote,Lote,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_luingil,Luingil,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_macke,Macke,unknown,,Mountain Troll Softskin,Troll,Minions of Sauron,,Softskin,generic_title_no_class,race_term=Mountain Troll | class_title=Softskin | base_class_unknown,no
char_maegnas,Maegnas,unknown,,"my name, I am the spider's bane! is a level thirty Noldorin Rider",Elf,Free Peoples,Warrior,Rider,parser_suspect_or_custom_descriptor,"race_term=Noldorin | class_title=Rider | unmatched=my name, I am the spider's bane! is a level thirty",yes
char_magica,Magica,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_malak,Malak,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_mammoth,Mammoth,unknown,,Tarkhnarb Adventurer,Orc,Minions of Sauron,,Adventurer,generic_title_no_class,race_term=Tarkhnarb | class_title=Adventurer | base_class_unknown,no
char_manne,Manne,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_marhault,Marhault,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_marillion,Marillion,unknown,,Black Númenórean Adventurer,Man,Minions of Sauron,,Adventurer,generic_title_no_class,race_term=Black Númenórean | class_title=Adventurer | base_class_unknown,no
