character_id,character_name,player_main_handle,player_known_by,derived_race,derived_faction,derived_base_class,derived_gender,classification_status,has_whois_display,has_colour_whois,mention_count,group_candidate_count,classification_review_needed,page_review_needed,page_slug
char_illusia,Illusia,Bellows,Bellows [Matt],,,,,no_whois_classification,no,no,0,0,yes,yes,illusia
char_ilmacil,Ilmacil,Feon,Feon [Johan],,,,,no_whois_classification,no,no,0,0,yes,yes,ilmacil
char_imlis,Imlis,Beorel,Beorel,,,,,no_whois_classification,no,no,0,0,yes,yes,imlis
char_implithura,Implithura,Tram,Tram,,,,,no_whois_classification,no,no,0,0,yes,yes,implithura
char_imrazor,Imrazor,Sabadon,Sabadon,,,,,no_whois_classification,no,no,0,0,yes,yes,imrazor
char_ingwe,Ingwe,Filibert,Filibert,,,,,no_whois_classification,no,no,0,0,yes,yes,ingwe
char_inziladun,Inziladun,Amandil,Amandil,,,,,no_whois_classification,no,no,0,0,yes,yes,inziladun
char_irogla,Irogla,Irogla,Irogla,,,,,no_whois_classification,no,no,0,0,yes,yes,irogla
char_itallicus,Itallicus,Aram,Aram,,,,,no_whois_classification,no,no,0,0,yes,yes,itallicus
char_ithy,Ithy,Faint,Faint,,,,,no_whois_classification,no,no,0,0,yes,yes,ithy
char_jarhala,Jarhala,Kazeena,Kazeena,,,,,no_whois_classification,no,no,0,0,yes,yes,jarhala
char_jaron,Jaron,Marillion,Marillion,,,,,no_whois_classification,no,no,0,0,yes,yes,jaron
char_jatte,Jatte,Marre,Marre [Martin],,,,,no_whois_classification,no,no,0,0,yes,yes,jatte
char_jeffbob,Jeffbob,Valamir,Valamir [Ole],,,,,no_whois_classification,no,no,0,0,yes,yes,jeffbob
char_jensu,Jensu,Kazeena,Kazeena,,,,,no_whois_classification,no,no,0,0,yes,yes,jensu
char_jerpa,Jerpa,Jerpa,Jerpa,,,,,no_whois_classification,no,no,0,0,yes,yes,jerpa
char_joponen,Joponen,Marre,Marre [Martin],,,,,no_whois_classification,no,no,0,0,yes,yes,joponen
char_juggles,Juggles,Bellows,Bellows [Matt],,,,,no_whois_classification,no,no,0,0,yes,yes,juggles
