character_key,display_name,name_suffix,affiliation_id,affiliation_name,reason,known_character_id,whois_checked,evidence_kind,source_id,source_name,source_url,source_date_context,notes
Lolli,Lolli,,troll_kamikaze_squadron,Troll Kamikaze Squadron,not_in_characters,,,listed_member,2003_elvenrunes_clans,Elvenrunes MUME Clans page,https://elvenrunes.com/mume/clans.html,Webpage current in 2003,
Loreth,Loreth Beerbelly,Beerbelly,durin_s_house,Durin's House,not_in_characters,,,listed_member,2003_elvenrunes_clans,Elvenrunes MUME Clans page,https://elvenrunes.com/mume/clans.html,Webpage current in 2003,
Mumacik,Mumacik,,arda_s_army,Arda's Army,not_in_characters,,,listed_member,2003_elvenrunes_clans,Elvenrunes MUME Clans page,https://elvenrunes.com/mume/clans.html,Webpage current in 2003,
Méagyn,Méagyn,,arda_s_army,Arda's Army,not_in_characters,,,listed_member,2003_elvenrunes_clans,Elvenrunes MUME Clans page,https://elvenrunes.com/mume/clans.html,Webpage current in 2003,
Nator,Nator Bloodlust,Bloodlust,durin_s_house,Durin's House,not_in_characters,,,listed_member,2003_elvenrunes_clans,Elvenrunes MUME Clans page,https://elvenrunes.com/mume/clans.html,Webpage current in 2003,
Nian,Nian,,riders_of_rohan,Riders of Rohan,not_in_characters,,,founder,2003_elvenrunes_clans,Elvenrunes MUME Clans page,https://elvenrunes.com/mume/clans.html,Webpage current in 2003,
Njaa,Njaa,,the_brotherhood_of_the_squirrel,The Brotherhood of the Squirrel,not_in_characters,,,listed_contact,2003_elvenrunes_clans,Elvenrunes MUME Clans page,https://elvenrunes.com/mume/clans.html,Webpage current in 2003,
Oddvar,Oddvar,,arda_s_army,Arda's Army,not_in_characters,,,listed_member,2003_elvenrunes_clans,Elvenrunes MUME Clans page,https://elvenrunes.com/mume/clans.html,Webpage current in 2003,
Rackarth,Rackarth,,arda_s_army,Arda's Army,not_in_characters,,,listed_member,2003_elvenrunes_clans,Elvenrunes MUME Clans page,https://elvenrunes.com/mume/clans.html,Webpage current in 2003,
Razer,Razer,,arda_s_army,Arda's Army,not_in_characters,,,listed_member,2003_elvenrunes_clans,Elvenrunes MUME Clans page,https://elvenrunes.com/mume/clans.html,Webpage current in 2003,
Ritz,Ritz Blitz,Blitz,durin_s_army,Durin's Army,not_in_characters,,,listed_member,2003_elvenrunes_clans,Elvenrunes MUME Clans page,https://elvenrunes.com/mume/clans.html,Webpage current in 2003,
Rohwan,Rohwan,,riders_of_rohan,Riders of Rohan,not_in_characters,,,founder,2003_elvenrunes_clans,Elvenrunes MUME Clans page,https://elvenrunes.com/mume/clans.html,Webpage current in 2003,
Roy,Roy Boy,Boy,durin_s_army,Durin's Army,not_in_characters,,,listed_member,2003_elvenrunes_clans,Elvenrunes MUME Clans page,https://elvenrunes.com/mume/clans.html,Webpage current in 2003,
Röxic,Röxic,,army_of_arthedain,Army of Arthedain,not_in_characters,,,listed_contact,2003_elvenrunes_clans,Elvenrunes MUME Clans page,https://elvenrunes.com/mume/clans.html,Webpage current in 2003,
Shwash,Shwash Bummer,Bummer,durin_s_house,Durin's House,not_in_characters,,,listed_member,2003_elvenrunes_clans,Elvenrunes MUME Clans page,https://elvenrunes.com/mume/clans.html,Webpage current in 2003,Old and retired; listed among elders.
