character_id,character_name,derived_gender,derived_gender_confidence,source_descriptor,derived_race,derived_faction,derived_base_class,derived_class_title,classification_status,classification_notes,review_needed
char_manaja,Manaja,male,medium,Sindarin Wizard,Elf,Free Peoples,Mage,Wizard,classified,race_term=Sindarin | class_title=Wizard,no
char_manic,Manic,male,medium,Tarkhnarb Battlemaster,Orc,Minions of Sauron,Warrior,Battlemaster,classified,race_term=Tarkhnarb | class_title=Battlemaster,no
char_miriamele,Miriamele,male,medium,Silvan Wizard,Elf,Free Peoples,Mage,Wizard,classified,race_term=Silvan | class_title=Wizard,no
char_mochomurka,Mochomurka,male,medium,Black Númenórean Warlock,Man,Minions of Sauron,Mage,Warlock,classified,race_term=Black Númenórean | class_title=Warlock,no
char_moci,Moci,male,medium,Dwarven Axemaster,Dwarf,Free Peoples,Warrior,Axemaster,classified,race_term=Dwarven | class_title=Axemaster,no
char_molak,Molak,male,medium,Tarkhnarb Battlemaster,Orc,Minions of Sauron,Warrior,Battlemaster,classified,race_term=Tarkhnarb | class_title=Battlemaster,no
char_moloko,Moloko,male,medium,Tarkhnarb Battlemaster,Orc,Minions of Sauron,Warrior,Battlemaster,classified,race_term=Tarkhnarb | class_title=Battlemaster,no
char_morbet,Morbet,male,medium,Tarkhnarb Battlemaster,Orc,Minions of Sauron,Warrior,Battlemaster,classified,race_term=Tarkhnarb | class_title=Battlemaster,no
char_mukami,Mukami,male,medium,Rohirric Battlemaster,Man,Free Peoples,Warrior,Battlemaster,classified,race_term=Rohirric | class_title=Battlemaster,no
char_mylene,Mylene,unknown,,Goddess! is an Elf,Elf,Free Peoples,,,race_only,race_term=Elf | unmatched=Goddess! is an | base_class_unknown,no
char_nagoroth,Nagoroth,male,medium,Dwarven Battlemaster,Dwarf,Free Peoples,Warrior,Battlemaster,classified,race_term=Dwarven | class_title=Battlemaster,no
char_naldor,Naldor,male,medium,Silvan Battlemaster,Elf,Free Peoples,Warrior,Battlemaster,classified,race_term=Silvan | class_title=Battlemaster,no
char_nazalbeth,Nazalbeth,male,medium,Black Númenórean Wizard,Man,Minions of Sauron,Mage,Wizard,classified,race_term=Black Númenórean | class_title=Wizard,no
char_nazkuk,Nazkuk,male,medium,Tarkhnarb Murderer,Orc,Minions of Sauron,Scout,Murderer,classified,race_term=Tarkhnarb | class_title=Murderer,no
char_neo,Neo,male,medium,Beginning to Believe... is a level forty-one Dwarven Weaponsmaster,Dwarf,Free Peoples,Warrior,Weaponsmaster,parser_suspect_or_custom_descriptor,race_term=Dwarven | class_title=Weaponsmaster | unmatched=Beginning to Believe... is a level forty-one,yes
char_nimîr,Nimîr,male,medium,Silvan Priest,Elf,Free Peoples,Cleric,Priest,classified,race_term=Silvan | class_title=Priest,no
char_oscarmeyer,Oscarmeyer,male,medium,Black Númenórean Murderer,Man,Minions of Sauron,Scout,Murderer,classified,race_term=Black Númenórean | class_title=Murderer,no
char_paka,Paka,male,medium,Dwarven Battlemaster,Dwarf,Free Peoples,Warrior,Battlemaster,classified,race_term=Dwarven | class_title=Battlemaster,no
char_prist,Prist,male,medium,Black Númenórean Warlock,Man,Minions of Sauron,Mage,Warlock,classified,race_term=Black Númenórean | class_title=Warlock,no
char_pumuckl,Pumuckl,male,medium,Silvan Battlemaster,Elf,Free Peoples,Warrior,Battlemaster,classified,race_term=Silvan | class_title=Battlemaster,no
char_rauko,Rauko,male,medium,Tarkhnarb Battlemaster,Orc,Minions of Sauron,Warrior,Battlemaster,classified,race_term=Tarkhnarb | class_title=Battlemaster,no
char_risp,Risp,male,medium,Half-elven Wizard,Half-Elf,Free Peoples,Mage,Wizard,classified,race_term=Half-elven | class_title=Wizard,no
char_rivet,Rivet,male,medium,Tarkhnarb Murderer,Orc,Minions of Sauron,Scout,Murderer,classified,race_term=Tarkhnarb | class_title=Murderer,no
char_romaïn,Romaïn,male,medium,Dwarven Axemaster,Dwarf,Free Peoples,Warrior,Axemaster,classified,race_term=Dwarven | class_title=Axemaster,no
char_romin,Romin,male,medium,Dwarven Priest,Dwarf,Free Peoples,Cleric,Priest,classified,race_term=Dwarven | class_title=Priest,no
char_sabish,Sabish,male,medium,Orkish Battlemaster,Orc,Minions of Sauron,Warrior,Battlemaster,classified,race_term=Orkish | class_title=Battlemaster,no
char_san,San,male,medium,Dúnadan Battlemaster,Man,Free Peoples,Warrior,Battlemaster,classified,race_term=Dúnadan | class_title=Battlemaster,no
char_scorn,Scorn,male,medium,Tarkhnarb Battlemaster,Orc,Minions of Sauron,Warrior,Battlemaster,classified,race_term=Tarkhnarb | class_title=Battlemaster,no
char_shathûr,Shathûr,male,medium,Dwarven Weaponsmaster,Dwarf,Free Peoples,Warrior,Weaponsmaster,classified,race_term=Dwarven | class_title=Weaponsmaster,no
char_silencio,Silencio,male,medium,Sindarin Warlock,Elf,Free Peoples,Mage,Warlock,classified,race_term=Sindarin | class_title=Warlock,no
