source_whois_id,source_character_id,source_character_name,whois_descriptor,whois_text_excerpt,has_ascii_art,ascii_art_score,ascii_art_line_count,ascii_art_excerpt
whois_slobber_1780915900,char_slobber,Slobber,Cave Troll Warrior,"Slobber is a level seventeen Cave Troll Warrior [Retired].
   ____________
  /            \
 |   WARNING!   |
 | ELF WHACKER! |
  \____________/
       |  |
      / _)|
     / /__L
____/ (____)
      (____)
____  (____)
    \_(____)
       |  |
       \__/",yes,17.5,5,"     / /__L
____/ (____)
      (____)
____  (____)
    \_(____)"
whois_snooker_1780915979,char_snooker,Snooker,Orc,"Snooker the living 8-ball is an Orc [Retired].
                  ...
               ¡ ´O_o`
               | (_._)
               |   |
               Ò----ô
               | _( )_
*Snooker the orc* puts a queue up your arse.
OOOOH! That really feel nice!
Sorry! You're dead R.I.P.",yes,12.5,5,"                  ...
               | (_._)
               |   |
               Ò----ô
               | _( )_"
whois_spears_1780916059,char_spears,Spears,Troll,"Spears the Olog-Moi is a Troll.

(\ (\
(=':')
(,("")("")

I R BUNNY!",yes,5.0,2,"(=':')
(,("")("")"
whois_tharam_1780916434,char_tharam,Tharam,Dwarven Battlemaster,"Tharam Thromborg, the Dirty Donut of the [tCoA] is a level
    thirty-one Dwarven Battlemaster.
Last login 7 years, 9 months, and 10 days ago from *.se.

                  / \
                 |___|
                m o o m
               mM[_ _]Mm
               mM{ _ }Mm
               mMMmmmMMm
                mMMMMMm
                 mmmmm
                  mmm",yes,7.0,4,"                  / \
                 |___|
               mM[_ _]Mm
               mM{ _ }Mm"
whois_tindomerel_1780916570,char_tindomerel,Tindomerel,so hot your head goes Yufzbarr is a level sixty-one Noldorin Heroine,"Tindomerel is so hot your head goes Yufzbarr is a level sixty-one
    Noldorin Heroine [Retired].
Last login 7 months and 3 days ago.
  {\                 ,
 {* \      ____     /}
{ ~ *\    ////^^\  /}
{*    \  (((/ 6 6 / *}
{  * ~ \ )))c  = )*  }        'Yufzbarr!'
 {*   * ////'_/~` ~ }
  {~ * (((( `.`\ *}' .:.
   `{.~ )))`\ \))_.-:*:-
      `{ (() `\_.-'` `:'
        `)/ `. |",yes,38.5,10,"  {\                 ,
 {* \      ____     /}
{ ~ *\    ////^^\  /}
{*    \  (((/ 6 6 / *}
{  * ~ \ )))c  = )*  }        'Yufzbarr!'
 {*   * ////'_/~` ~ }
  {~ * (((( `.`\ *}' .:.
   `{.~ )))`\ \))_.-:*:-
      `{ (() `\_.-'` `:'
        `)/ `. |"
whois_udo_1780916818,char_udo,Udo,Dwarf,"Udo ChestBeard, King of MithrilBalls is a Dwarf [Retired].
Last login 3 years, 5 months, and 26 days ago.
*        . . . . o o o o o
*               _____      o       _______
*      ____====  ]OO|_n_n__][.     |lamer|
*     [________]_|__|________)<    |ville|
*      oo    oo  'oo OOOO-| oo\\_   ~~~|~~~
*  +--+--+--+--+--+--+--+--+-$1-+--+--+--+--+",yes,19.5,6,"*        . . . . o o o o o
*               _____      o       _______
*      ____====  ]OO|_n_n__][.     |lamer|
*     [________]_|__|________)<    |ville|
*      oo    oo  'oo OOOO-| oo\\_   ~~~|~~~
*  +--+--+--+--+--+--+--+--+-$1-+--+--+--+--+"
whois_uffe_1780916823,char_uffe,Uffe,Orkish Fighter,"Uffe Knuffar is a level fifty-four Orkish Fighter.

                              --- --- ---
                          ---|   |   |   |
                        _|___|___|___|___|_
                       (_>_U_>_F_>_F_>_E_>_)
                         |   |   |   |   |
                         |_ _|_ _|_ ------
                         \___ \___\ (__|  |
                                    ------

                     Urban Fist Fightning Enemy

           ""The fist-bone is connected to the, cheek-bone""",yes,34.0,8,"                              --- --- ---
                          ---|   |   |   |
                        _|___|___|___|___|_
                       (_>_U_>_F_>_F_>_E_>_)
                         |   |   |   |   |
                         |_ _|_ _|_ ------
                         \___ \___\ (__|  |
                                    ------"
whois_ukuvul_1780916852,char_ukuvul,Ukuvul,Orkish Sentry,"Ukuvul is a level twelve Orkish Sentry [Retired].

                 (  /\__________/\  )
                  \(^ @___..___@ ^)/
                   /\ (\/\/\/\/) /\
                  /  \(/\/\/\/\)/  \
                -(    """"""""""""""""""""    )
                  \      _____      /
                  (     /(   )\     )
                  _)   (_V) (V_)   (_
                 (V)(V)(V)   (V)(V)(V)",yes,36.5,9,"                 (  /\__________/\  )
                  \(^ @___..___@ ^)/
                   /\ (\/\/\/\/) /\
                  /  \(/\/\/\/\)/  \
                -(    """"""""""""""""""""    )
                  \      _____      /
                  (     /(   )\     )
                  _)   (_V) (V_)   (_
                 (V)(V)(V)   (V)(V)(V)"
whois_ulfhild_1780916874,char_ulfhild,Ulfhild,Hill Troll Warrior,"Ulfhild of the Hill is a level thirty-six Hill Troll Warrior.
               ------
              /      \
             /        ---
            /            \
   ---------              \-----
  /           ""mY hiLl""         \
--             -UlFhlD           \",yes,23.0,6,"               ------
              /      \
             /        ---
            /            \
   ---------              \-----
--             -UlFhlD           \"
whois_ulkaar_1780916880,char_ulkaar,Ulkaar,Orc,"Ulkaar is an Orc [Retired].

 (o)__(o)
  \ .. /  (
  ==\/==   )
  (m  m)  (
 m(____)m__)

If you can't stand to fall, you shouldn't stand at all.",yes,16.5,5," (o)__(o)
  \ .. /  (
  ==\/==   )
  (m  m)  (
 m(____)m__)"
whois_umnik_1780916891,char_umnik,Umnik,Half-elven Warlock,"Umnik smart headmaster is a level thirty-seven Half-elven Warlock.
           __              o             
           \%`.     0   O    o      
            `.%`.      o___o
              `.%`.''o^__O_^^''-._
               /`.%`.^^    ^^''-  \
              .`. `.%`.----'''^  .`.
             /   ''-`.%`.__..__''   \
            :         `.%`.  \ \     :
            |           `.%`./_/     | 
            |             `./ /.     |
            :            __/\/:/.    :
             \           \__/  `:/;./
              `.                 `:/;.
                `.              .' `:/`;
                  `-..______..-'     `'",yes,57.5,15,"           __              o             
           \%`.     0   O    o      
            `.%`.      o___o
              `.%`.''o^__O_^^''-._
               /`.%`.^^    ^^''-  \
              .`. `.%`.----'''^  .`.
             /   ''-`.%`.__..__''   \
            :         `.%`.  \ \     :
            |           `.%`./_/     | 
            |             `./ /.     |
            :            __/\/:/.    :
             \           \__/  `:/;./
              `.                 `:/;.
                `.              .' `:/`;
                  `-..______..-'     `'"
whois_väinämöinen_1780916964,,Väinämöinen,Silvan Hero,"Väinämöinen Väkevä is a level seventy-five Silvan Hero [Retired].
Last login 3 years, 4 months, and 22 days ago from *.com.
   _       *
   \\     /
O  |_\   w
|  /..) (_)
|  >  </ /
| /`==' /
|/     <
|  !   |
=)/-==-x
| /|  (_)
|/      \
|        \
|-______--'
| (/  \)",yes,44.5,14,"   _       *
   \\     /
O  |_\   w
|  /..) (_)
|  >  </ /
| /`==' /
|/     <
|  !   |
=)/-==-x
| /|  (_)
|/      \
|        \
|-______--'
| (/  \)"
whois_vili_1780917116,char_vili,Vili,Dwarven Veteran,"Vili is a level fifteen Dwarven Veteran [Retired].
Last login 16 years, 7 months, and 18 days ago from *.com.
      _    _/\_
  (` /\\  /_  _\
___\\  \\ |\||/|
\\  \\__/========\
 \\ /\\/  \####/  \
  \/  \|\  \##/  /|
       |#\  \/  /#|
       |##\    /##|
Runts   \##\  /##/
 R    _/ \##\/##/ \_
  us!(___]\====/[___)",yes,46.0,11,"      _    _/\_
  (` /\\  /_  _\
___\\  \\ |\||/|
\\  \\__/========\
 \\ /\\/  \####/  \
  \/  \|\  \##/  /|
       |#\  \/  /#|
       |##\    /##|
Runts   \##\  /##/
 R    _/ \##\/##/ \_
  us!(___]\====/[___)"
whois_xile_1780917403,char_xile,Xile,Silvan Mountaineer,"Xile from society. is a level sixty-two Silvan Mountaineer
    [Retired].
Last login 1 year, 9 months, and 12 days ago.
                        //  /             `.               ______
                       //  /                `.           ,'.  . .`.
                      //  /                   `.        /,`.`-.`.`.`.
                     //  /                      `.      ).,-  '.\')\\:
                    ::  :                         `.   (a /a)  :';)`)|
                    ;;  ;                           `.  )'     |'|\/'|
                   ::  :                               /_,     |'|\ ||
                   ;;  ;                                )__    |'|/`.|
                  ::  :                                  \_    :'|,'||
                  ||  |                                    `-.' :|  \|
    _.._-_-,______||  |______________________________,',',-,(\ /||_,'`.
    `-.",yes,62.0,15,"                        //  /             `.               ______
                       //  /                `.           ,'.  . .`.
                      //  /                   `.        /,`.`-.`.`.`.
                     //  /                      `.      ).,-  '.\')\\:
                    ::  :                         `.   (a /a)  :';)`)|
                    ;;  ;                           `.  )'     |'|\/'|
                   ::  :                               /_,     |'|\ ||
                   ;;  ;                                )__    |'|/`.|
                  ::  :                                  \_    :'|,'||
                  ||  |                                    `-.' :|  \|
    _.._-_-,______||  |______________________________,',',-,(\ /||_,'`.
    `-...__.----,.||__|_----------------'''''''''''''`..-.(,'))\||,'
                >-''  _ `._  ____ ____________________..`'`-`/_-||  `.
               /.`--'' `   `' `.. `.`.     `.    `.    `.      `||.
               (_`_"
