character_id,character_name,player_id,player_main_handle,player_known_by,player_real_name,player_link_type,player_link_status,player_link_confidence,player_link_evidence_id,player_link_notes,immortal_list_status,immortal_list_category,is_maiar_muddler,honorary_immortal,immortal_list_source_id,immortal_list_source_name,immortal_list_source_date_context,immortal_list_evidence_id,immortal_list_review_status,immortal_list_notes,source_whois_id,source_descriptor,derived_race,derived_subrace,derived_faction,derived_faction_confidence,derived_base_class,derived_who_class_group,derived_class_title,derived_class_confidence,derived_class_skill_notes,derived_class_level_restriction_notes,derived_class_race_restriction_notes,derived_class_alignment_restriction_notes,derived_gender,derived_gender_confidence,derived_immortal_rank,derived_immortal_code,derived_immortal_role,classification_status,classification_notes,candidate_whois_rows,review_needed
char_agonor,Agonor,player_0043,Lehto,Lehto,,listed_same_player,accepted,medium,evidence_player_group_0043,,,,,,,,,,,,whois_agonor_1780899107,Dwarven Battlemaster,Dwarf,,Free Peoples,medium,Warrior,Warrior,Battlemaster,high,,,,,,,,,,classified,race_term=Dwarven | class_title=Battlemaster | who_class_group=Warrior | class_confidence=high,1,no
char_aiele,Aiele,player_0188,Aiele,Aiele [Joel],Joel,listed_same_player,accepted,medium,evidence_player_group_0188,,retired,Maia,no,no,2026_06_16_retired_immortals,MUME retired immortal list,List current as of 2026-06-16,immortal_2026_06_16_retired_immortals_aiele_204_listed_retired_immortal,candidate,Copied by Lewis. Includes Boardreaders and honorary True Legend entry for Norsu.,whois_aielë_1780899113,Maia,Maia,,Immortals,high,Cartographer,Cartographer,Cartographer,high,,,,,,,Maia,M,Cartographer,immortal,immortal_term=Maia | race_term=Maia,1,no
char_ainafea,Ainafea,player_0158,Ainafea,Ainafea,,listed_same_player,accepted,medium,evidence_player_group_0158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_whois_classification,No classification row found,0,yes
char_ainairos,Ainairos,player_0037,Bobbie,Bobbie,,listed_same_player,accepted,medium,evidence_player_group_0037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_whois_classification,No classification row found,0,yes
char_ajax,Ajax,player_0002,Ajax,Ajax,,listed_same_player,accepted,medium,evidence_player_group_0002,,retired,Boardreader,no,no,2026_06_16_retired_immortals,MUME retired immortal list,List current as of 2026-06-16,immortal_2026_06_16_retired_immortals_ajax_307_listed_retired_immortal,candidate,Copied by Lewis. Includes Boardreaders and honorary True Legend entry for Norsu.,whois_ajax_1780899129,Maia,Maia,,Immortals,high,,,,,,,,,,,Maia,M,,immortal,immortal_term=Maia | race_term=Maia,1,no
char_akhorahil,Akhorahil,player_0036,Atlas,Atlas,,listed_same_player,accepted,medium,evidence_player_group_0036,,,,,,,,,,,,whois_akhorahil_1780899135,Black Númenórean Priest,Man,Black Númenórean,Minions of Sauron,high,Cleric,Cleric,Priest,high,,,,,,,,,,classified,race_term=Black Númenórean | class_title=Priest | who_class_group=Cleric | class_confidence=high,1,no
char_albundy,AlBundy,player_0109,Nighthawk,Nighthawk,,listed_same_player,accepted,medium,evidence_player_group_0109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_whois_classification,No classification row found,0,yes
char_alantir,Alantir,player_0051,Alantir,Alantir,,listed_same_player,accepted,medium,evidence_player_group_0051,,retired,Maia,no,no,2026_06_16_retired_immortals,MUME retired immortal list,List current as of 2026-06-16,immortal_2026_06_16_retired_immortals_alantir_82_listed_retired_immortal,candidate,Copied by Lewis. Includes Boardreaders and honorary True Legend entry for Norsu.,whois_alantir_1780899146,Maia,Maia,,Immortals,high,Wright,Wright,Wright,high,,,,,,,Maia,M,Wright,immortal,immortal_term=Maia | race_term=Maia,2,no
char_alazar,Alazar,player_0201,Omen,Omen [Alexander],Alexander,listed_same_player,accepted,medium,evidence_player_group_0201,,,,,,,,,,,,whois_alázar_1780899152,Half-elven Patriarch,Half-Elf,,Free Peoples,medium,Cleric,Cleric,Patriarch,high,,,,,male,high,,,,classified,race_term=Half-elven | class_title=Patriarch | who_class_group=Cleric | class_confidence=high,1,no
char_alcion,Alcion,player_0035,Fankil,Fankil [Alexander],Alexander,listed_same_player,accepted,medium,evidence_player_group_0035,,,,,,,,,,,,whois_alcion_1780899157,Sindarin Adventurer,Elf,Sindarin,Free Peoples,medium,General,General,Adventurer,medium,,,,,,,,,,classified,race_term=Sindarin | class_title=Adventurer | who_class_group=General | class_confidence=medium,1,no
