source_id,immortal_status,immortal_category,character_key,display_name,is_maiar_muddler,honorary_immortal,evidence_kind,source_order,review_status,notes
2026_06_16_retired_immortals,retired,Implementors,CryHavoc,CryHavoc,no,no,listed_retired_immortal,1,candidate,
2026_06_16_retired_immortals,retired,Implementors,Nada,Nada,no,no,listed_retired_immortal,2,candidate,
2026_06_16_retired_immortals,retired,Aratar,Arion,Arion,no,no,listed_retired_immortal,3,candidate,
2026_06_16_retired_immortals,retired,Aratar,Draught,Draught,no,no,listed_retired_immortal,4,candidate,
2026_06_16_retired_immortals,retired,Aratar,Fili,Fili,no,no,listed_retired_immortal,5,candidate,
2026_06_16_retired_immortals,retired,Aratar,Ilie,Ilie,no,no,listed_retired_immortal,6,candidate,
2026_06_16_retired_immortals,retired,Aratar,Námo,Námo,no,no,listed_retired_immortal,7,candidate,
2026_06_16_retired_immortals,retired,Aratar,Nienor,Nienor,no,no,listed_retired_immortal,8,candidate,
2026_06_16_retired_immortals,retired,Aratar,Staer,Staer,no,no,listed_retired_immortal,9,candidate,
2026_06_16_retired_immortals,retired,Aratar,Sung,Sung,no,no,listed_retired_immortal,10,candidate,
2026_06_16_retired_immortals,retired,Aratar,Thorin,Thorin,no,no,listed_retired_immortal,11,candidate,
2026_06_16_retired_immortals,retired,Aratar,Tulkas,Tulkas,no,no,listed_retired_immortal,12,candidate,
2026_06_16_retired_immortals,retired,Aratar,Vivriel,Vivriel,no,no,listed_retired_immortal,13,candidate,
2026_06_16_retired_immortals,retired,Aratar,Yavanna,Yavanna,no,no,listed_retired_immortal,14,candidate,
2026_06_16_retired_immortals,retired,Aratar,Zakath,Zakath,no,no,listed_retired_immortal,15,candidate,
2026_06_16_retired_immortals,retired,Aratar,Zarangal,Zarangal,no,no,listed_retired_immortal,16,candidate,
2026_06_16_retired_immortals,retired,Valar,Alkar,Alkar,no,no,listed_retired_immortal,17,candidate,
2026_06_16_retired_immortals,retired,Valar,Ancalagon,Ancalagon,no,no,listed_retired_immortal,18,candidate,
2026_06_16_retired_immortals,retired,Valar,Arathorn,Arathorn,no,no,listed_retired_immortal,19,candidate,
2026_06_16_retired_immortals,retired,Valar,Arla,Arla,no,no,listed_retired_immortal,20,candidate,
2026_06_16_retired_immortals,retired,Valar,Avitar,Avitar,no,no,listed_retired_immortal,21,candidate,
2026_06_16_retired_immortals,retired,Valar,Axel,Axel,no,no,listed_retired_immortal,22,candidate,
2026_06_16_retired_immortals,retired,Valar,Gothmog,Gothmog,no,no,listed_retired_immortal,23,candidate,
2026_06_16_retired_immortals,retired,Valar,Incánus,Incánus,no,no,listed_retired_immortal,24,candidate,
2026_06_16_retired_immortals,retired,Valar,Kalev,Kalev,no,no,listed_retired_immortal,25,candidate,
2026_06_16_retired_immortals,retired,Valar,Kroz,Kroz,no,no,listed_retired_immortal,26,candidate,
2026_06_16_retired_immortals,retired,Valar,Makar,Makar,no,no,listed_retired_immortal,27,candidate,
2026_06_16_retired_immortals,retired,Valar,Mandor,Mandor,no,no,listed_retired_immortal,28,candidate,
2026_06_16_retired_immortals,retired,Valar,Mandos,Mandos,no,no,listed_retired_immortal,29,candidate,
2026_06_16_retired_immortals,retired,Valar,Rubius,Rubius,no,no,listed_retired_immortal,30,candidate,
2026_06_16_retired_immortals,retired,Valar,Scar,Scar,no,no,listed_retired_immortal,31,candidate,
2026_06_16_retired_immortals,retired,Valar,Squizz,Squizz,no,no,listed_retired_immortal,32,candidate,
2026_06_16_retired_immortals,retired,Valar,Swix,Swix,no,no,listed_retired_immortal,33,candidate,
2026_06_16_retired_immortals,retired,Valar,Thor,Thor,no,no,listed_retired_immortal,34,candidate,
2026_06_16_retired_immortals,retired,Valar,Thuzzle,Thuzzle,no,no,listed_retired_immortal,35,candidate,
2026_06_16_retired_immortals,retired,Valar,Valur,Valur,no,no,listed_retired_immortal,36,candidate,
2026_06_16_retired_immortals,retired,Valar,Vengeance,Vengeance,no,no,listed_retired_immortal,37,candidate,
2026_06_16_retired_immortals,retired,Valar,Yants,Yants,no,no,listed_retired_immortal,38,candidate,
2026_06_16_retired_immortals,retired,Valar,Yeoma,Yeoma,no,no,listed_retired_immortal,39,candidate,
2026_06_16_retired_immortals,retired,Valar,Yorick,Yorick,no,no,listed_retired_immortal,40,candidate,
2026_06_16_retired_immortals,retired,Valar,Amandil,Amandil,no,no,listed_retired_immortal,41,candidate,
2026_06_16_retired_immortals,retired,Valar,Aredhel,Aredhel,no,no,listed_retired_immortal,42,candidate,
2026_06_16_retired_immortals,retired,Valar,Ausir,Ausir,no,no,listed_retired_immortal,43,candidate,
2026_06_16_retired_immortals,retired,Valar,Azaghâl,Azaghâl,no,no,listed_retired_immortal,44,candidate,
2026_06_16_retired_immortals,retired,Valar,Badger,Badger,no,no,listed_retired_immortal,45,candidate,
2026_06_16_retired_immortals,retired,Valar,Darthang,Darthang,no,no,listed_retired_immortal,46,candidate,
2026_06_16_retired_immortals,retired,Valar,Déor,Déor,no,no,listed_retired_immortal,47,candidate,
2026_06_16_retired_immortals,retired,Valar,Eärendil,Eärendil,no,no,listed_retired_immortal,48,candidate,
2026_06_16_retired_immortals,retired,Valar,Eönwe,Eönwe,no,no,listed_retired_immortal,49,candidate,
2026_06_16_retired_immortals,retired,Valar,Fëanor,Fëanor,no,no,listed_retired_immortal,50,candidate,
2026_06_16_retired_immortals,retired,Valar,Galen,Galen,no,no,listed_retired_immortal,51,candidate,
2026_06_16_retired_immortals,retired,Valar,Ghostly,Ghostly,no,no,listed_retired_immortal,52,candidate,
2026_06_16_retired_immortals,retired,Valar,Gruenthar,Gruenthar,no,no,listed_retired_immortal,53,candidate,
2026_06_16_retired_immortals,retired,Valar,Ingtar,Ingtar,no,no,listed_retired_immortal,54,candidate,
2026_06_16_retired_immortals,retired,Valar,Keltic,Keltic,no,no,listed_retired_immortal,55,candidate,
2026_06_16_retired_immortals,retired,Valar,Lomion,Lomion,no,no,listed_retired_immortal,56,candidate,
