source_id,source_name,source_type,source_url,source_command,source_date_context,notes
2026_06_16_current_immortals,MUME current immortal list,in_game_immortal_list,,view wizlist,List current as of 2026-06-16,Copied by Lewis. (+m) means the immortal is also a Maiar Muddler / muddle code contributor.
2026_06_16_retired_immortals,MUME retired immortal list,in_game_retired_immortal_list,,view wizretired,List current as of 2026-06-16,Copied by Lewis. Includes Boardreaders and honorary True Legend entry for Norsu.
