source_id,title,source_type,url,date_found,reliability,notes
source_players_txt_iheartdisraptor,PLAYERS.TXT / MUME players - who plays who,player_list,https://github.com/iheartdisraptor/mume/blob/master/guide/PLAYERS.TXT,2026-06-07,useful_but_subjective,"Historical list of player-character associations, mainly pkillers. Contains author notes and subjective judgments."
source_mudlet_whois_archive,Mudlet MUME whois archive export,whois_archive,,2026-06-08,direct_mudlet_capture,Imported from Mudlet whois archive JSON: /Users/Lewis/.config/mudlet/profiles/Multi-Users in Middle-earth/mume_whois_archive.json | Imported from Mudlet whois archive JSON: /Users/Lewis/.config/mudlet/profiles/Multi-Users in Middle-earth/mume_whois_archive.import_cleaned.json
2026_06_16_current_immortals,MUME current immortal list,in_game_immortal_list,,2026-06-16,direct_game_list_copy,Copied by Lewis. (+m) means the immortal is also a Maiar Muddler / muddle code contributor. | source_command=view wizlist | source_date_context=List current as of 2026-06-16
2026_06_16_retired_immortals,MUME retired immortal list,in_game_retired_immortal_list,,2026-06-16,direct_game_list_copy,Copied by Lewis. Includes Boardreaders and honorary True Legend entry for Norsu. | source_command=view wizretired | source_date_context=List current as of 2026-06-16
