link_id,player_id,character_id,character_name,main_handle,link_type,status,confidence,primary_evidence_id,notes
link_00001,player_0001,char_rogon,Rogon,Rogon,listed_same_player,accepted,medium,evidence_player_group_0001,
link_00002,player_0001,char_norsu,Norsu,Rogon,listed_same_player,accepted,medium,evidence_player_group_0001,
link_00003,player_0001,char_pandion,Pandion,Rogon,listed_same_player,accepted,medium,evidence_player_group_0001,
link_00004,player_0001,char_wyzz,Wyzz,Rogon,listed_same_player,accepted,medium,evidence_player_group_0001,
link_00005,player_0001,char_grez,Grez,Rogon,listed_same_player,accepted,medium,evidence_player_group_0001,
link_00006,player_0001,char_zed,Zed,Rogon,listed_same_player,accepted,medium,evidence_player_group_0001,
link_00007,player_0001,char_sarah,Sarah,Rogon,listed_same_player,accepted,medium,evidence_player_group_0001,
link_00008,player_0001,char_eileen,Eileen,Rogon,listed_same_player,accepted,medium,evidence_player_group_0001,
link_00009,player_0001,char_posh,Posh,Rogon,listed_same_player,accepted,medium,evidence_player_group_0001,
link_00010,player_0001,char_fierce,Fierce,Rogon,listed_same_player,accepted,medium,evidence_player_group_0001,
link_00011,player_0001,char_azazhel,Azazhel,Rogon,listed_same_player,accepted,medium,evidence_player_group_0001,
link_00012,player_0001,char_mato,Mato,Rogon,listed_same_player,accepted,medium,evidence_player_group_0001,
link_00013,player_0001,char_bastion,Bastion,Rogon,listed_same_player,accepted,medium,evidence_player_group_0001,
link_00014,player_0001,char_throg,Throg,Rogon,listed_same_player,accepted,medium,evidence_player_group_0001,
link_00015,player_0001,char_dork,Dork,Rogon,listed_same_player,accepted,medium,evidence_player_group_0001,
link_00016,player_0001,char_woe,Woe,Rogon,listed_same_player,accepted,medium,evidence_player_group_0001,
link_00017,player_0001,char_mylene,Mylene,Rogon,listed_same_player,accepted,medium,evidence_player_group_0001,
link_00018,player_0001,char_geri,Geri,Rogon,listed_same_player,accepted,medium,evidence_player_group_0001,
link_00019,player_0002,char_ajax,Ajax,Ajax,listed_same_player,accepted,medium,evidence_player_group_0002,
link_00020,player_0002,char_torment,Torment,Ajax,listed_same_player,accepted,medium,evidence_player_group_0002,
link_00021,player_0002,char_achilles,Achilles,Ajax,listed_same_player,accepted,medium,evidence_player_group_0002,
link_00022,player_0002,char_buliwyf,Buliwyf,Ajax,listed_same_player,accepted,medium,evidence_player_group_0002,
link_00023,player_0002,char_brynhilde,Brynhilde,Ajax,listed_same_player,accepted,medium,evidence_player_group_0002,
link_00024,player_0002,char_tempest,Tempest,Ajax,listed_same_player,accepted,medium,evidence_player_group_0002,
link_00025,player_0002,char_hrothgar,Hrothgar,Ajax,listed_same_player,accepted,medium,evidence_player_group_0002,
link_00026,player_0002,char_everhate,Everhate,Ajax,listed_same_player,accepted,medium,evidence_player_group_0002,
link_00027,player_0002,char_kesslik,Kesslik,Ajax,listed_same_player,accepted,medium,evidence_player_group_0002,
link_00028,player_0002,char_carniminimmiel,Carniminimmiel,Ajax,listed_same_player,accepted,medium,evidence_player_group_0002,
link_00029,player_0003,char_burb,Burb,Burb,listed_same_player,accepted,medium,evidence_player_group_0003,
link_00030,player_0003,char_caress,Caress,Burb,listed_same_player,accepted,medium,evidence_player_group_0003,
link_00031,player_0003,char_dalamar,Dalamar,Burb,listed_same_player,accepted,medium,evidence_player_group_0003,
link_00032,player_0003,char_deathwind,Deathwind,Burb,listed_same_player,accepted,medium,evidence_player_group_0003,
link_00033,player_0003,char_filth,Filth,Burb,listed_same_player,accepted,medium,evidence_player_group_0003,
link_00034,player_0003,char_kovie,Kovie,Burb,listed_same_player,accepted,medium,evidence_player_group_0003,
link_00035,player_0003,char_death,Death,Burb,listed_same_player,accepted,medium,evidence_player_group_0003,
link_00036,player_0003,char_thanquol,Thanquol,Burb,listed_same_player,accepted,medium,evidence_player_group_0003,
link_00037,player_0003,char_onyx,Onyx,Burb,listed_same_player,accepted,medium,evidence_player_group_0003,
link_00038,player_0003,char_mehter,Mehter,Burb,listed_same_player,accepted,medium,evidence_player_group_0003,
link_00039,player_0003,char_reaper,Reaper,Burb,listed_same_player,accepted,medium,evidence_player_group_0003,
link_00040,player_0003,char_fairy,Fairy,Burb,listed_same_player,accepted,medium,evidence_player_group_0003,
link_00041,player_0003,char_zevier,Zevier,Burb,listed_same_player,accepted,medium,evidence_player_group_0003,
link_00042,player_0003,char_barak,Barak,Burb,listed_same_player,accepted,medium,evidence_player_group_0003,
