character_name,character_id,already_checked,priority,notes
Azmodan,char_azmodan,true,normal,whois imported from Mudlet archive
Azylic,char_azylic,true,normal,whois returned no extant character information in MUME
Baalrukh,char_baalrukh,true,normal,whois imported from Mudlet archive
Babai,char_babai,true,normal,whois imported from Mudlet archive
Backfire,char_backfire,true,normal,whois returned no extant character information in MUME
Badur,char_badur,true,normal,whois imported from Mudlet archive
Bagger,char_bagger,true,normal,whois imported from Mudlet archive
Baghtru,char_baghtru,true,normal,whois imported from Mudlet archive
Bah,char_bah,true,normal,whois imported from Mudlet archive
Bairanax,char_bairanax,true,normal,whois imported from Mudlet archive
Bajun,char_bajun,true,normal,whois imported from Mudlet archive
Balder,char_balder,true,normal,whois imported from Mudlet archive
Baldwin,char_baldwin,true,normal,whois imported from Mudlet archive
Baldy,char_baldy,true,normal,whois imported from Mudlet archive
Balin,char_balin,true,normal,whois imported from Mudlet archive
Balthazar,char_balthazar,true,normal,whois imported from Mudlet archive
Baltimor,char_baltimor,true,normal,whois returned no extant character information in MUME
Bambi,char_bambi,true,normal,whois imported from Mudlet archive
Bamsefar,char_bamsefar,true,normal,whois returned no extant character information in MUME
Baphomet,char_baphomet,true,normal,whois imported from Mudlet archive
Baraban,char_baraban,true,normal,whois returned no extant character information in MUME
Baradul,char_baradul,true,normal,whois imported from Mudlet archive
Barak,char_barak,true,normal,whois imported from Mudlet archive
Baresark,char_baresark,true,normal,whois imported from Mudlet archive
Barlok,char_barlok,true,normal,whois imported from Mudlet archive
Barnes,char_barnes,true,normal,whois imported from Mudlet archive
Basha,char_basha,true,normal,whois imported from Mudlet archive
Bashy,char_bashy,true,normal,whois returned no extant character information in MUME
Basta,char_basta,true,normal,whois imported from Mudlet archive
Bastantor,char_bastantor,true,normal,whois imported from Mudlet archive
Bastion,char_bastion,true,normal,whois imported from Mudlet archive
Batar,char_batar,true,normal,whois returned no extant character information in MUME
Bates,char_bates,true,normal,whois imported from Mudlet archive
Batpoop,char_batpoop,true,normal,whois imported from Mudlet archive
Baurk,char_baurk,true,normal,whois imported from Mudlet archive
Bearclaw,char_bearclaw,true,normal,whois returned no extant character information in MUME
Bearnas,char_bearnas,true,normal,whois imported from Mudlet archive
Beastly,char_beastly,true,normal,whois imported from Mudlet archive
Beat,char_beat,true,normal,whois imported from Mudlet archive
Beleghir,char_beleghir,true,normal,whois imported from Mudlet archive
